District,Latitude,Longitude,Zn,Fe,Cu,Mn,B,S,As,Hg,Se,Co,Mo,Sb,V,Tl,Pb
Ajmer,25.112007276996604,77.78784075817764,22.607607325326473,76.48909475032559,191.29227155802056,138.00003258591133,93.83952998423845,31.89150904790006,141.61821976906114,144.20651482654802,88.79656133250108,25.18922278947271,169.55318152028346,163.26260778445803,106.11321705336172,7.680486616273807,121.68832380953376
Udaipur,24.39909443129731,74.18694422044048,120.19684835247911,189.19935254878962,36.94323836164018,46.79735682801392,161.07523619322407,125.65729769689733,199.9754324902175,195.93174751547912,148.385819063012,12.543280556825742,44.48286202443552,11.15320602518226,81.77206899300937,108.79249461897862,57.678953608053995
Ajmer,26.82296012679116,78.36853900460005,27.87207505127327,167.3134463790137,119.06871915196588,75.99931422014599,123.13232639326446,190.78591229241934,4.0233906719930435,133.97283268448962,38.66078610179178,90.0706410760006,101.89931181378643,193.7753016875633,156.65616817054973,57.43860115198682,81.39742232641673
Jaipur,24.840148559677253,76.64987069348557,43.24444316367775,86.9329944864232,28.89713216770289,40.77893358828541,59.018391918567325,4.080449253645191,2.258808011044877,179.87491856813546,140.30322249366523,160.06071534956564,141.74146163153296,126.76578117142843,131.78757100176412,138.52378552063936,82.39492536311165
Jodhpur,26.901878176162768,78.3367082715616,44.13869510228221,123.25280132719254,174.21550401186573,46.91933294891037,103.51839611495592,12.912229698132638,55.181923559606275,91.25266751714096,118.44362276759477,5.172308743856546,185.6538549004875,57.19434780754895,10.409722107918618,25.132787384725887,81.93574081887694
Kota,26.185227086242413,76.98220027451131,36.979597827641776,176.3831310831063,126.504547932014,114.61687436131862,54.11514734740488,33.86566721784898,103.51393838179361,137.3863803636722,74.93585204213396,146.07777929874518,154.99200331450487,188.175626893761,175.31619813959986,75.58525676791719,123.87126966228585
Jaipur,24.334217193779903,75.11696296604686,163.27159797754368,72.54445570858437,109.20357308424971,153.99789051971794,153.34043511922204,83.24790188398927,76.57365163433687,75.6867096550914,96.93495170056552,192.46504900284265,72.75193844949403,183.25571287915284,176.15264532238464,44.62260321300451,124.46415154916515
Kota,24.432824615963753,73.57506849016494,37.699711190883335,6.578552854302466,98.19738368944154,7.059582697015898,171.71235483713144,86.38292983498272,1.5539624333628543,12.034526409183544,188.64871362534507,182.6318080668591,106.58320081940951,174.6468145672556,59.12317986435689,124.58985217432641,130.62043599608168
Jaipur,26.330147496875085,75.86886100758727,48.62593604337919,58.181407883122404,163.9698701878861,135.53102892949852,1.333116309047333,124.95910485710091,119.9854154418618,178.67296275770374,79.82128644211473,32.46962463846772,69.62817124128165,48.33044440726364,175.538854638446,80.33179597013805,114.77351178862749
Jaipur,24.222801481351752,76.60640493069977,156.67614498987993,46.83306783786245,71.09620764750875,11.269030713697115,50.47214981371517,74.93587200699668,154.10572116355272,132.50633612841568,187.3653213489459,12.120352235545596,181.23758243220223,32.63325259155505,152.55877367885648,63.11904034704947,8.147070975629056
Udaipur,25.43103183115526,77.46261696850897,179.7520873394886,122.93661231280196,142.7156728446697,156.5796281841833,82.73134302970408,134.4163799315276,179.1849309089842,27.891551185887643,132.92623244791113,29.42301987753431,184.21636331885395,179.594974831471,73.64534293521177,147.15478780078453,147.0344153508514
Jodhpur,25.653827084836358,78.16923196473144,148.30577123849304,34.89352778488994,78.12544570842319,153.0853939850294,53.72192900369217,102.51780872216192,192.56163340979043,24.30879173111031,3.626978700284389,20.956194809952144,149.32978568388955,193.3048318140116,170.79647954995198,34.771483536133395,157.0406885180955
Jaipur,26.997499279621074,77.76340682207353,197.18844004824038,95.71400758066433,152.22572489809212,30.221366574377416,83.09890725762044,149.78476253200407,81.10743161401308,33.033768368559755,1.1750497809378535,9.422913567752534,42.409746992027934,139.7148749816691,145.95834452336115,26.22915151571035,14.143388084724418
Kota,27.11642286115657,76.37368583491742,135.75176221500246,83.86209532017952,154.92587222568866,69.80552037407111,28.17743264884818,191.49162807256593,32.57385553691754,64.40516667463126,18.453910207483858,6.788253267831323,130.74246771945383,3.3293395713406726,192.2955730916259,176.12491502253985,37.12676564476698
Ajmer,24.33664913823521,75.71092975227972,116.0905423395973,60.39220223645665,147.75631201460152,151.03949368415266,74.90173478789369,142.02928857802425,164.73247216386696,28.57888073681427,10.783681603931171,41.98999551998364,50.26245453127771,169.947853129878,195.40414755183764,69.64028979873471,172.81164870892118
Ajmer,24.90144164549992,73.9212485082965,152.52952367753866,190.18249744357942,159.33026625476643,7.1871116895482645,166.00514459698348,51.722339744044945,194.82903741091968,37.967283473738874,142.02731089713302,151.64419778984208,173.90321650360139,79.64364668039283,148.56115208444226,36.42659125462313,47.85047746181574
Kota,24.112102369041416,74.3073095437671,82.64370975264852,66.4294166712591,18.604738188472236,176.12611096049505,191.5487736952081,49.36486276012513,172.50190578708185,68.1255761187699,38.25366931240281,11.252746054250306,150.4422791178353,77.55875525447482,37.81089631661354,8.859361500451413,115.239386362323
Jaipur,26.87055870232969,74.56226289521354,9.616263490546428,171.9016049205799,89.34952670399763,57.673585297879114,176.28014234854538,103.53122997327927,19.244155782994167,151.8583471126963,89.44710246950052,49.46559049866694,22.822722000188644,143.23277202403344,6.903987623757946,143.2472813743579,42.421396847251614
Kota,23.5884500002905,75.27445784248616,67.47746639920705,59.7801215180795,68.2677295488086,30.019121606928678,54.22498881722733,104.86335045638259,63.81918782481202,137.12352243040826,97.38836889753757,10.980940393337345,20.574599580537534,73.30502862157364,70.12570065651178,176.317602939232,47.30615682119339
Kota,23.65936032856049,77.48766680420982,135.76977637141215,114.69706796501012,29.6853708113471,14.296666421371462,196.75861648656758,18.717231204679962,170.04009674602474,133.6735411517148,173.50307610838908,25.44298770126472,165.62589094581537,39.838014846591264,163.85420858532387,195.29698788775724,76.91893329777002
Jaipur,25.620795246594593,77.78805679048483,115.2165684636383,28.237398835437034,43.42121406577289,95.41539986729086,74.83893923434354,168.79696838699832,165.0928671692973,54.588539696761586,15.940033427262247,115.60963433536764,145.03953192895312,75.4952242497946,187.07656983003312,131.06471094313855,187.81824406628945
Jodhpur,24.13320943737716,78.19539773222546,53.261451863531505,40.97573251667308,58.928647689676275,37.072572828681125,2.14990586222763,82.94274236541939,75.23418067127051,47.34677339681195,104.43981183043296,119.0340019754524,50.91465774066008,198.09546513958114,189.86563437455422,179.7309638086052,88.16765149913101
Jaipur,23.910873947358596,76.03764057912103,99.31703321262839,116.62539056402166,51.16129622450083,99.44963208082962,181.16173456131207,121.04269772112937,168.41094833441178,82.35214113549137,17.50879889918282,24.497908702834014,6.092853855048186,166.4341457299016,25.158231159524046,118.58388001883979,40.865067196733726
Kota,26.8800190541319,74.31141485519751,13.075639394924021,28.858487108474918,158.42047426761582,20.134113164210188,160.6634253561126,53.55916483927059,101.56074756957685,195.21373971943677,128.82167204148908,27.164545884213332,171.5325698657831,79.66927032188653,158.57986258802353,136.924724062708,176.0495538259759
Jaipur,24.508525940691847,75.66965956480396,144.11426940689955,47.096397960008574,150.9991020084544,35.02254666667493,94.84181845602397,190.91840280776293,125.51246925070352,118.33581131695192,53.69937603245462,182.78155525784388,71.17998220450399,122.06592091202846,136.15833567757556,149.1466286564859,165.9534975062928
Jodhpur,26.361056680857722,76.80380563949464,97.57474969916242,46.687900102025324,83.79656195573344,84.47860784794628,119.89820951201004,122.36717036989843,54.386798829609376,127.40039890405058,140.72680815940544,2.631373361834566,53.19053053148266,122.4815422770453,142.5488408778986,188.45835254614445,47.70353009064286
Ajmer,23.680366535267105,75.32757998741359,0.5580330658564447,166.9901215567411,54.90130517857488,153.96405481773877,135.91215630159698,75.5843422435322,52.159451707277206,20.876595069590785,37.366608243245246,149.46841182414096,116.51204735506349,153.38346870174553,18.686572014227607,93.08168930825535,152.54247549389993
